rule,sup,conf,lift,Kulc
region_2_Columbia Valley => Washington,0.1011904761904762,1.0,9.333333333333334,0.9722222222222222
Washington => region_2_Columbia Valley,0.1011904761904762,0.9444444444444444,9.333333333333332,0.9722222222222222
region_2_Willamette Valley => Oregon,0.13988095238095238,1.0,6.588235294117648,0.9607843137254901
Oregon => region_2_Willamette Valley,0.13988095238095238,0.9215686274509804,6.588235294117648,0.9607843137254901
region_1_Napa Valley => region_2_Napa,0.10714285714285714,1.0,6.1090909090909085,0.8272727272727273
region_2_Napa => region_1_Napa Valley,0.10714285714285714,0.6545454545454545,6.1090909090909085,0.8272727272727273
region_2_Willamette Valley => Pinot Noir,0.11011904761904763,0.7872340425531915,3.3063829787234047,0.8936170212765957
Oregon => Pinot Noir,0.1130952380952381,0.7450980392156863,3.1294117647058832,0.8725490196078431
region_2_Central Coast => California,0.2559523809523809,1.0,1.4,1.0
region_2_Sonoma => California,0.18154761904761904,1.0,1.4,1.0
region_2_Napa => California,0.1636904761904762,1.0,1.4,1.0
region_1_Napa Valley => California,0.10714285714285714,1.0,1.4,1.0
Cabernet Sauvignon => California,0.11607142857142858,0.8478260869565217,1.1869565217391305,0.9239130434782609
Chardonnay => California,0.12202380952380952,0.8367346938775511,1.1714285714285717,0.9183673469387755
points_90 => California,0.19345238095238096,0.7647058823529411,1.0705882352941176,0.8823529411764706
